date,type,subtype,sidereal_long,sign,deg_in_sign,nakshatra,pada,visible_from_bhubaneswar
1900-05-28 14:53,Solar,Total+Central,44.3169,Taurus,14.3169,Rohini,2,N
1900-06-13 03:27,Lunar,Penumbral,239.0771,Scorpio,29.0771,Jyeshtha,4,?
1900-11-22 07:19,Solar,Annular+Central,217.0820,Scorpio,7.0820,Anuradha,2,N
1900-12-06 10:26,Lunar,Penumbral,51.2942,Taurus,21.2942,Rohini,4,?
1901-05-03 18:30,Lunar,Penumbral,200.2146,Libra,20.2146,Vishakha,1,?
1901-05-18 05:33,Solar,Total+Central,34.0878,Taurus,4.0878,Krittika,3,Y
1901-10-27 15:15,Lunar,Partial,11.1117,Aries,11.1117,Ashwini,4,?
1901-11-11 07:28,Solar,Annular+Central,205.7327,Libra,25.7327,Vishakha,2,Y
1902-04-08 14:04,Solar,Partial+Non-Central,355.3104,Pisces,25.3104,Revati,3,N
1902-04-22 18:52,Lunar,Total,189.2270,Libra,9.2270,Swati,1,?
1902-05-07 22:34,Solar,Partial+Non-Central,23.9128,Aries,23.9128,Bharani,4,N
1902-10-17 06:03,Lunar,Total,0.4544,Aries,0.4544,Ashwini,1,?
1902-10-31 08:00,Solar,Partial+Non-Central,194.4650,Libra,14.4650,Swati,3,Y
1903-03-29 01:35,Solar,Annular+Central,344.6902,Pisces,14.6902,Uttara Bhadrapada,4,Y
1903-04-12 00:12,Lunar,Partial,178.3708,Virgo,28.3708,Chitra,2,?
1903-09-21 04:39,Solar,Total+Central,154.5063,Virgo,4.5063,Uttara Phalguni,3,N
1903-10-06 15:17,Lunar,Partial,349.6250,Pisces,19.6250,Revati,1,?
1904-03-02 03:02,Lunar,Penumbral,138.7479,Leo,18.7479,Purva Phalguni,2,?
1904-03-17 05:40,Solar,Annular+Central,333.6998,Pisces,3.6998,Uttara Bhadrapada,1,Y
1904-03-31 12:32,Lunar,Penumbral,167.7387,Virgo,17.7387,Hasta,3,?
1904-09-09 20:44,Solar,Total+Central,144.1805,Leo,24.1805,Purva Phalguni,4,N
1904-09-24 17:34,Lunar,Penumbral,338.5822,Pisces,8.5822,Uttara Bhadrapada,2,?
1905-02-19 19:00,Lunar,Partial,128.0375,Leo,8.0375,Magha,3,?
1905-03-06 05:12,Solar,Annular+Central,322.4456,Aquarius,22.4456,Purva Bhadrapada,1,N
1905-08-15 03:40,Lunar,Partial,299.1668,Capricorn,29.1668,Dhanishta,2,?
1905-08-30 13:07,Solar,Total+Central,133.9292,Leo,13.9292,Purva Phalguni,1,N
1906-02-09 07:46,Lunar,Total,117.1396,Cancer,27.1396,Ashlesha,4,?
1906-02-23 07:43,Solar,Partial+Non-Central,311.2544,Aquarius,11.2544,Shatabhisha,2,N
1906-07-21 13:14,Solar,Partial+Non-Central,95.2897,Cancer,5.2897,Pushya,1,N
1906-08-04 13:00,Lunar,Total,288.6693,Capricorn,18.6693,Shravana,3,?
1906-08-20 01:12,Solar,Partial+Non-Central,123.5539,Leo,3.5539,Magha,2,N
1907-01-14 06:05,Solar,Total+Central,270.3829,Capricorn,0.3829,Uttara Ashadha,2,Y
1907-01-29 13:37,Lunar,Partial,105.9075,Cancer,15.9075,Pushya,4,?
1907-07-10 15:24,Solar,Annular+Central,84.6412,Gemini,24.6412,Punarvasu,2,N
1907-07-25 04:22,Lunar,Partial,278.4459,Capricorn,8.4459,Uttara Ashadha,4,?
1908-01-03 21:45,Solar,Total+Central,259.5741,Sagittarius,19.5741,Purva Ashadha,2,N
1908-01-18 13:21,Lunar,Penumbral,94.3869,Cancer,4.3869,Pushya,1,?
1908-06-14 14:06,Lunar,Penumbral,240.6069,Sagittarius,0.6069,Moola,1,?
1908-06-28 16:29,Solar,Annular+Central,73.9509,Gemini,13.9509,Ardra,3,N
1908-07-13 21:33,Lunar,Penumbral,268.3178,Sagittarius,28.3178,Uttara Ashadha,1,?
1908-12-07 21:54,Lunar,Penumbral,52.9438,Taurus,22.9438,Rohini,4,?
1908-12-23 11:44,Solar,Annular-Total+Central,248.7007,Sagittarius,8.7007,Moola,3,N
1909-06-04 01:28,Lunar,Total,230.2258,Scorpio,20.2258,Jyeshtha,2,?
1909-06-17 23:18,Solar,Annular-Total+Central,63.4832,Gemini,3.4832,Mrigashira,4,N
1909-11-27 08:54,Lunar,Total,41.9242,Taurus,11.9242,Rohini,1,?
1909-12-12 19:44,Solar,Partial+Non-Central,237.5808,Scorpio,27.5808,Jyeshtha,4,N
1910-05-09 05:42,Solar,Total+Central,25.1160,Aries,25.1160,Bharani,4,N
1910-05-24 05:34,Lunar,Total,219.5271,Scorpio,9.5271,Anuradha,2,?
1910-11-02 02:08,Solar,Partial+Non-Central,196.1747,Libra,16.1747,Swati,3,N
1910-11-17 00:20,Lunar,Total,31.1323,Taurus,1.1323,Krittika,2,?
1911-04-28 22:27,Solar,Total+Central,14.8854,Aries,14.8854,Bharani,1,N
1911-05-13 05:56,Lunar,Penumbral,208.6404,Libra,28.6404,Vishakha,3,?
1911-10-22 04:12,Solar,Annular+Central,185.0213,Libra,5.0213,Chitra,4,Y
1911-11-06 15:36,Lunar,Penumbral,20.3817,Aries,20.3817,Bharani,3,?
1912-04-01 22:13,Lunar,Partial,169.2739,Virgo,19.2739,Hasta,3,?
1912-04-17 11:34,Solar,Annular-Total+Central,4.4545,Aries,4.4545,Ashwini,2,N
1912-09-26 11:44,Lunar,Partial,340.4536,Pisces,10.4536,Uttara Bhadrapada,3,?
