canonical_id,local_path,gcs_uri,local_sha256,gcs_sha256,match,local_size_bytes,gcs_size_bytes,divergence_type
CGP_AUDIT_v1_0,01_FACTS_LAYER/CGP_AUDIT_v1_0.md,gs://madhav-marsys-sources/L1/facts/CGP_AUDIT_v1_0.md,223f04bb9b3e755298cd0d2759a028d336f89793860c57952c6deb367f8f35cf,223f04bb9b3e755298cd0d2759a028d336f89793860c57952c6deb367f8f35cf,True,22068,22068,none
EXTERNAL_COMPUTATION_SPEC_v2_0,01_FACTS_LAYER/EXTERNAL_COMPUTATION_SPEC_v2_0.md,gs://madhav-marsys-sources/L1/facts/EXTERNAL_COMPUTATION_SPEC_v2_0.md,3db9b40bbbfe695f3e17cc4450c6bde0a11b34f2adf73d0375e7468cd3f109aa,3db9b40bbbfe695f3e17cc4450c6bde0a11b34f2adf73d0375e7468cd3f109aa,True,7256,7256,none
FORENSIC_ASTROLOGICAL_DATA_v8_0,01_FACTS_LAYER/FORENSIC_ASTROLOGICAL_DATA_v8_0.md,gs://madhav-marsys-sources/L1/facts/FORENSIC_ASTROLOGICAL_DATA_v8_0.md,f06d8a0554434fff6db6be1a39c6bd38b7c0fb626fb20d20201806fb13be185c,f06d8a0554434fff6db6be1a39c6bd38b7c0fb626fb20d20201806fb13be185c,True,97759,97759,none
LIFE_EVENT_LOG_v1_2,01_FACTS_LAYER/LIFE_EVENT_LOG_v1_2.md,gs://madhav-marsys-sources/L1/facts/LIFE_EVENT_LOG_v1_2.md,83ab441e9df30113df69bb8f3f9cbe2f92a8f5eb8ad7360d7a8f180b2b33a7e7,83ab441e9df30113df69bb8f3f9cbe2f92a8f5eb8ad7360d7a8f180b2b33a7e7,True,103204,103204,none
SADE_SATI_CYCLES_ALL,01_FACTS_LAYER/SADE_SATI_CYCLES_ALL.md,gs://madhav-marsys-sources/L1/facts/SADE_SATI_CYCLES_ALL.md,716bcb8c8830324e1f6d8cd36e0682ca0b39e1df0840380c37746359e16ad808,716bcb8c8830324e1f6d8cd36e0682ca0b39e1df0840380c37746359e16ad808,True,7023,7023,none
EVENT_CHART_STATES_v1_0,01_FACTS_LAYER/SOURCES/EVENT_CHART_STATES_v1_0.md,gs://madhav-marsys-sources/L1/sources/EVENT_CHART_STATES_v1_0.md,957e58bbd523d981ac08a6c9a525987b787d3cca066ec78104e8e703fbd1c343,957e58bbd523d981ac08a6c9a525987b787d3cca066ec78104e8e703fbd1c343,True,57976,57976,none
JHORA_TRANSCRIPTION_v8_0_SOURCE,01_FACTS_LAYER/SOURCES/JHORA_TRANSCRIPTION_v8_0_SOURCE.md,gs://madhav-marsys-sources/L1/sources/JHORA_TRANSCRIPTION_v8_0_SOURCE.md,29dd7839ff5fbbbebd704e8703e26fb75db94c31317587c0a3b1516ed23668ba,29dd7839ff5fbbbebd704e8703e26fb75db94c31317587c0a3b1516ed23668ba,True,27170,27170,none
CHART_FACTS_EXTRACTION_v1_0,01_FACTS_LAYER/STRUCTURED/CHART_FACTS_EXTRACTION_v1_0.yaml,gs://madhav-marsys-sources/L1/facts/STRUCTURED/CHART_FACTS_EXTRACTION_v1_0.yaml,e2ac2907997f8bb86bf6628420a7aec263a4d5d394a45db8a96755f3deb2ac66,e2ac2907997f8bb86bf6628420a7aec263a4d5d394a45db8a96755f3deb2ac66,True,161126,161126,none
CHART_FACTS_SCHEMA_v1_0,01_FACTS_LAYER/STRUCTURED/CHART_FACTS_SCHEMA_v1_0.json,gs://madhav-marsys-sources/L1/facts/STRUCTURED/CHART_FACTS_SCHEMA_v1_0.json,52362ebe5c914f8b6baaf6f95b98a1f1d363a0759f0ba3389ce1e96e684c3d64,52362ebe5c914f8b6baaf6f95b98a1f1d363a0759f0ba3389ce1e96e684c3d64,True,5302,5302,none
CDLM_v1_1,025_HOLISTIC_SYNTHESIS/CDLM_v1_1.md,gs://madhav-marsys-sources/L2_5/CDLM_v1_1.md,3e64d5e512f37ee86152bac976f9f10a0355ceece9d1dce4fb874a8c0c13ed55,3e64d5e512f37ee86152bac976f9f10a0355ceece9d1dce4fb874a8c0c13ed55,True,87944,87944,none
CGM,025_HOLISTIC_SYNTHESIS/CGM_v9_0.md,gs://madhav-marsys-sources/L2_5/CGM_v9_0.md,f22905cf3b740bee99d765b0a5c22b0a1730f0b03d11959d6ae4c42fd281d3ed,f22905cf3b740bee99d765b0a5c22b0a1730f0b03d11959d6ae4c42fd281d3ed,True,64272,64272,none
MSR_v3_0,025_HOLISTIC_SYNTHESIS/MSR_v3_0.md,gs://madhav-marsys-sources/L2_5/MSR_v3_0.md,980baac0afa3a9870a02b44db2b67498e21d645f6380d828d0f758b0d13a6ef9,980baac0afa3a9870a02b44db2b67498e21d645f6380d828d0f758b0d13a6ef9,True,855042,855042,none
RED_TEAM_L2_5_v1_0,025_HOLISTIC_SYNTHESIS/RED_TEAM_L2_5_v1_0.md,gs://madhav-marsys-sources/L2_5/RED_TEAM_L2_5_v1_0.md,5202ed3bc7c5827213707a60154bd7d36eb7299bda2de5ef074fa20fed1337a2,5202ed3bc7c5827213707a60154bd7d36eb7299bda2de5ef074fa20fed1337a2,True,25822,25822,none
